FieldName,Value,DescriptionEn,DescriptionCz
MENAKOD,UGS,mena,currency
MENAKOD,UGW,mena,currency
MENAKOD,UAK,mena,currency
MENAKOD,SUR,mena,currency
MENAKOD,USS,mena,currency
MENAKOD,UYN,mena,currency
MENAKOD,UYP,mena,currency
MENAKOD,RUR,mena,currency
MENAKOD,VEB,mena,currency
MENAKOD,VEF,mena,currency
MENAKOD,VEF,mena,currency
MENAKOD,VNC,mena,currency
MENAKOD,YDD,mena,currency
MENAKOD,YUD,mena,currency
MENAKOD,YUM,mena,currency
MENAKOD,YUN,mena,currency
MENAKOD,ZRN,mena,currency
MENAKOD,ZRZ,mena,currency
MENAKOD,ZMK,mena,currency
MENAKOD,ZWC,mena,currency
MENAKOD,ZWD,mena,currency
MENAKOD,ZWD,mena,currency
MENAKOD,ZWN,mena,currency
MENAKOD,ZWR,mena,currency
MENAKOD,XFO,mena,currency
MENAKOD,XRE,mena,currency
MENAKOD,XFU,mena,currency
MENAKODPOSKYTNUTI,AFN,mena,currency
MENAKODPOSKYTNUTI,EUR,mena,currency
MENAKODPOSKYTNUTI,ALL,mena,currency
MENAKODPOSKYTNUTI,DZD,mena,currency
MENAKODPOSKYTNUTI,USD,mena,currency
MENAKODPOSKYTNUTI,EUR,mena,currency
MENAKODPOSKYTNUTI,AOA,mena,currency
MENAKODPOSKYTNUTI,XCD,mena,currency
MENAKODPOSKYTNUTI,XCD,mena,currency
MENAKODPOSKYTNUTI,ARS,mena,currency
MENAKODPOSKYTNUTI,AMD,mena,currency
MENAKODPOSKYTNUTI,AWG,mena,currency
MENAKODPOSKYTNUTI,AUD,mena,currency
MENAKODPOSKYTNUTI,EUR,mena,currency
MENAKODPOSKYTNUTI,AZN,mena,currency
MENAKODPOSKYTNUTI,BSD,mena,currency
MENAKODPOSKYTNUTI,BHD,mena,currency
MENAKODPOSKYTNUTI,BDT,mena,currency
MENAKODPOSKYTNUTI,BBD,mena,currency
MENAKODPOSKYTNUTI,BYN,mena,currency
MENAKODPOSKYTNUTI,EUR,mena,currency
MENAKODPOSKYTNUTI,BZD,mena,currency
MENAKODPOSKYTNUTI,XOF,mena,currency
MENAKODPOSKYTNUTI,BMD,mena,currency
MENAKODPOSKYTNUTI,INR,mena,currency
MENAKODPOSKYTNUTI,BTN,mena,currency
MENAKODPOSKYTNUTI,BOB,mena,currency
MENAKODPOSKYTNUTI,BOV,mena,currency
MENAKODPOSKYTNUTI,USD,mena,currency
MENAKODPOSKYTNUTI,BAM,mena,currency
MENAKODPOSKYTNUTI,BWP,mena,currency
MENAKODPOSKYTNUTI,NOK,mena,currency
MENAKODPOSKYTNUTI,BRL,mena,currency
MENAKODPOSKYTNUTI,USD,mena,currency
MENAKODPOSKYTNUTI,BND,mena,currency
MENAKODPOSKYTNUTI,BGN,mena,currency
MENAKODPOSKYTNUTI,XOF,mena,currency
MENAKODPOSKYTNUTI,BIF,mena,currency
MENAKODPOSKYTNUTI,CVE,mena,currency
MENAKODPOSKYTNUTI,KHR,mena,currency
MENAKODPOSKYTNUTI,XAF,mena,currency
MENAKODPOSKYTNUTI,CAD,mena,currency
MENAKODPOSKYTNUTI,KYD,mena,currency
MENAKODPOSKYTNUTI,XAF,mena,currency
MENAKODPOSKYTNUTI,XAF,mena,currency
MENAKODPOSKYTNUTI,CLP,mena,currency
MENAKODPOSKYTNUTI,CLF,mena,currency
MENAKODPOSKYTNUTI,CNY,mena,currency
MENAKODPOSKYTNUTI,AUD,mena,currency
MENAKODPOSKYTNUTI,AUD,mena,currency
MENAKODPOSKYTNUTI,COP,mena,currency
MENAKODPOSKYTNUTI,COU,mena,currency
MENAKODPOSKYTNUTI,KMF,mena,currency
MENAKODPOSKYTNUTI,CDF,mena,currency
MENAKODPOSKYTNUTI,XAF,mena,currency
MENAKODPOSKYTNUTI,NZD,mena,currency
MENAKODPOSKYTNUTI,CRC,mena,currency
MENAKODPOSKYTNUTI,XOF,mena,currency
MENAKODPOSKYTNUTI,HRK,mena,currency
MENAKODPOSKYTNUTI,CUP,mena,currency
MENAKODPOSKYTNUTI,CUC,mena,currency
MENAKODPOSKYTNUTI,ANG,mena,currency
MENAKODPOSKYTNUTI,EUR,mena,currency
MENAKODPOSKYTNUTI,CZK,mena,currency
MENAKODPOSKYTNUTI,DKK,mena,currency
MENAKODPOSKYTNUTI,DJF,mena,currency
MENAKODPOSKYTNUTI,XCD,mena,currency
MENAKODPOSKYTNUTI,DOP,mena,currency
MENAKODPOSKYTNUTI,USD,mena,currency
MENAKODPOSKYTNUTI,EGP,mena,currency
MENAKODPOSKYTNUTI,SVC,mena,currency
MENAKODPOSKYTNUTI,USD,mena,currency
MENAKODPOSKYTNUTI,XAF,mena,currency
MENAKODPOSKYTNUTI,ERN,mena,currency
MENAKODPOSKYTNUTI,EUR,mena,currency
MENAKODPOSKYTNUTI,ETB,mena,currency
MENAKODPOSKYTNUTI,EUR,mena,currency
MENAKODPOSKYTNUTI,FKP,mena,currency
MENAKODPOSKYTNUTI,DKK,mena,currency
MENAKODPOSKYTNUTI,FJD,mena,currency
MENAKODPOSKYTNUTI,EUR,mena,currency
MENAKODPOSKYTNUTI,EUR,mena,currency
MENAKODPOSKYTNUTI,EUR,mena,currency
MENAKODPOSKYTNUTI,XPF,mena,currency
MENAKODPOSKYTNUTI,EUR,mena,currency
MENAKODPOSKYTNUTI,XAF,mena,currency
MENAKODPOSKYTNUTI,GMD,mena,currency
MENAKODPOSKYTNUTI,GEL,mena,currency
MENAKODPOSKYTNUTI,EUR,mena,currency
MENAKODPOSKYTNUTI,GHS,mena,currency
MENAKODPOSKYTNUTI,GIP,mena,currency
MENAKODPOSKYTNUTI,EUR,mena,currency
MENAKODPOSKYTNUTI,DKK,mena,currency
MENAKODPOSKYTNUTI,XCD,mena,currency
MENAKODPOSKYTNUTI,EUR,mena,currency
MENAKODPOSKYTNUTI,USD,mena,currency
MENAKODPOSKYTNUTI,GTQ,mena,currency
MENAKODPOSKYTNUTI,GBP,mena,currency
MENAKODPOSKYTNUTI,GNF,mena,currency
MENAKODPOSKYTNUTI,XOF,mena,currency
MENAKODPOSKYTNUTI,GYD,mena,currency
MENAKODPOSKYTNUTI,HTG,mena,currency
MENAKODPOSKYTNUTI,USD,mena,currency
MENAKODPOSKYTNUTI,AUD,mena,currency
MENAKODPOSKYTNUTI,EUR,mena,currency
MENAKODPOSKYTNUTI,HNL,mena,currency
MENAKODPOSKYTNUTI,HKD,mena,currency
MENAKODPOSKYTNUTI,HUF,mena,currency
MENAKODPOSKYTNUTI,ISK,mena,currency
MENAKODPOSKYTNUTI,INR,mena,currency
MENAKODPOSKYTNUTI,IDR,mena,currency
MENAKODPOSKYTNUTI,XDR,mena,currency
MENAKODPOSKYTNUTI,IRR,mena,currency
MENAKODPOSKYTNUTI,IQD,mena,currency
MENAKODPOSKYTNUTI,EUR,mena,currency
MENAKODPOSKYTNUTI,GBP,mena,currency
MENAKODPOSKYTNUTI,ILS,mena,currency
MENAKODPOSKYTNUTI,EUR,mena,currency
MENAKODPOSKYTNUTI,JMD,mena,currency
MENAKODPOSKYTNUTI,JPY,mena,currency
MENAKODPOSKYTNUTI,GBP,mena,currency
MENAKODPOSKYTNUTI,JOD,mena,currency
MENAKODPOSKYTNUTI,KZT,mena,currency
MENAKODPOSKYTNUTI,KES,mena,currency
MENAKODPOSKYTNUTI,AUD,mena,currency
MENAKODPOSKYTNUTI,KPW,mena,currency
MENAKODPOSKYTNUTI,KRW,mena,currency
MENAKODPOSKYTNUTI,KWD,mena,currency
MENAKODPOSKYTNUTI,KGS,mena,currency
MENAKODPOSKYTNUTI,LAK,mena,currency
MENAKODPOSKYTNUTI,EUR,mena,currency
MENAKODPOSKYTNUTI,LBP,mena,currency
MENAKODPOSKYTNUTI,LSL,mena,currency
MENAKODPOSKYTNUTI,ZAR,mena,currency
MENAKODPOSKYTNUTI,LRD,mena,currency
MENAKODPOSKYTNUTI,LYD,mena,currency
MENAKODPOSKYTNUTI,CHF,mena,currency
MENAKODPOSKYTNUTI,EUR,mena,currency
MENAKODPOSKYTNUTI,EUR,mena,currency
MENAKODPOSKYTNUTI,MOP,mena,currency
MENAKODPOSKYTNUTI,MKD,mena,currency
MENAKODPOSKYTNUTI,MGA,mena,currency
MENAKODPOSKYTNUTI,MWK,mena,currency
MENAKODPOSKYTNUTI,MYR,mena,currency
MENAKODPOSKYTNUTI,MVR,mena,currency
MENAKODPOSKYTNUTI,XOF,mena,currency
MENAKODPOSKYTNUTI,EUR,mena,currency
MENAKODPOSKYTNUTI,USD,mena,currency
MENAKODPOSKYTNUTI,EUR,mena,currency
MENAKODPOSKYTNUTI,MRO,mena,currency
MENAKODPOSKYTNUTI,MUR,mena,currency
MENAKODPOSKYTNUTI,EUR,mena,currency
MENAKODPOSKYTNUTI,XUA,mena,currency
MENAKODPOSKYTNUTI,MXN,mena,currency
MENAKODPOSKYTNUTI,MXV,mena,currency
MENAKODPOSKYTNUTI,USD,mena,currency
MENAKODPOSKYTNUTI,MDL,mena,currency
MENAKODPOSKYTNUTI,EUR,mena,currency
MENAKODPOSKYTNUTI,MNT,mena,currency
MENAKODPOSKYTNUTI,EUR,mena,currency
MENAKODPOSKYTNUTI,XCD,mena,currency
MENAKODPOSKYTNUTI,MAD,mena,currency
MENAKODPOSKYTNUTI,MZN,mena,currency
MENAKODPOSKYTNUTI,MMK,mena,currency
MENAKODPOSKYTNUTI,NAD,mena,currency
MENAKODPOSKYTNUTI,ZAR,mena,currency
MENAKODPOSKYTNUTI,AUD,mena,currency
MENAKODPOSKYTNUTI,NPR,mena,currency
MENAKODPOSKYTNUTI,EUR,mena,currency
MENAKODPOSKYTNUTI,XPF,mena,currency
MENAKODPOSKYTNUTI,NZD,mena,currency
MENAKODPOSKYTNUTI,NIO,mena,currency
MENAKODPOSKYTNUTI,XOF,mena,currency
MENAKODPOSKYTNUTI,NGN,mena,currency
MENAKODPOSKYTNUTI,NZD,mena,currency
MENAKODPOSKYTNUTI,AUD,mena,currency
MENAKODPOSKYTNUTI,USD,mena,currency
MENAKODPOSKYTNUTI,NOK,mena,currency
MENAKODPOSKYTNUTI,OMR,mena,currency
MENAKODPOSKYTNUTI,PKR,mena,currency
MENAKODPOSKYTNUTI,USD,mena,currency
MENAKODPOSKYTNUTI,PAB,mena,currency
MENAKODPOSKYTNUTI,USD,mena,currency
MENAKODPOSKYTNUTI,PGK,mena,currency
MENAKODPOSKYTNUTI,PYG,mena,currency
MENAKODPOSKYTNUTI,PEN,mena,currency
MENAKODPOSKYTNUTI,PHP,mena,currency
MENAKODPOSKYTNUTI,NZD,mena,currency
MENAKODPOSKYTNUTI,PLN,mena,currency
MENAKODPOSKYTNUTI,EUR,mena,currency
MENAKODPOSKYTNUTI,USD,mena,currency
MENAKODPOSKYTNUTI,QAR,mena,currency
MENAKODPOSKYTNUTI,EUR,mena,currency
MENAKODPOSKYTNUTI,RON,mena,currency
MENAKODPOSKYTNUTI,RUB,mena,currency
MENAKODPOSKYTNUTI,RWF,mena,currency
MENAKODPOSKYTNUTI,EUR,mena,currency
MENAKODPOSKYTNUTI,SHP,mena,currency
MENAKODPOSKYTNUTI,XCD,mena,currency
MENAKODPOSKYTNUTI,XCD,mena,currency
MENAKODPOSKYTNUTI,EUR,mena,currency
MENAKODPOSKYTNUTI,EUR,mena,currency
MENAKODPOSKYTNUTI,XCD,mena,currency
MENAKODPOSKYTNUTI,WST,mena,currency
MENAKODPOSKYTNUTI,EUR,mena,currency
MENAKODPOSKYTNUTI,STD,mena,currency
MENAKODPOSKYTNUTI,SAR,mena,currency
MENAKODPOSKYTNUTI,XOF,mena,currency
MENAKODPOSKYTNUTI,RSD,mena,currency
MENAKODPOSKYTNUTI,SCR,mena,currency
MENAKODPOSKYTNUTI,SLL,mena,currency
MENAKODPOSKYTNUTI,SGD,mena,currency
MENAKODPOSKYTNUTI,ANG,mena,currency
MENAKODPOSKYTNUTI,XSU,mena,currency
MENAKODPOSKYTNUTI,EUR,mena,currency
MENAKODPOSKYTNUTI,EUR,mena,currency
MENAKODPOSKYTNUTI,SBD,mena,currency
MENAKODPOSKYTNUTI,SOS,mena,currency
MENAKODPOSKYTNUTI,ZAR,mena,currency
MENAKODPOSKYTNUTI,SSP,mena,currency
MENAKODPOSKYTNUTI,EUR,mena,currency
MENAKODPOSKYTNUTI,LKR,mena,currency
MENAKODPOSKYTNUTI,SDG,mena,currency
MENAKODPOSKYTNUTI,SRD,mena,currency
MENAKODPOSKYTNUTI,NOK,mena,currency
MENAKODPOSKYTNUTI,SZL,mena,currency
MENAKODPOSKYTNUTI,SEK,mena,currency
MENAKODPOSKYTNUTI,CHF,mena,currency
MENAKODPOSKYTNUTI,CHE,mena,currency
MENAKODPOSKYTNUTI,CHW,mena,currency
MENAKODPOSKYTNUTI,SYP,mena,currency
MENAKODPOSKYTNUTI,TWD,mena,currency
MENAKODPOSKYTNUTI,TJS,mena,currency
MENAKODPOSKYTNUTI,TZS,mena,currency
MENAKODPOSKYTNUTI,THB,mena,currency
MENAKODPOSKYTNUTI,USD,mena,currency
MENAKODPOSKYTNUTI,XOF,mena,currency
MENAKODPOSKYTNUTI,NZD,mena,currency
MENAKODPOSKYTNUTI,TOP,mena,currency
MENAKODPOSKYTNUTI,TTD,mena,currency
MENAKODPOSKYTNUTI,TND,mena,currency
MENAKODPOSKYTNUTI,TRY,mena,currency
MENAKODPOSKYTNUTI,TMT,mena,currency
MENAKODPOSKYTNUTI,USD,mena,currency
MENAKODPOSKYTNUTI,AUD,mena,currency
MENAKODPOSKYTNUTI,UGX,mena,currency
MENAKODPOSKYTNUTI,UAH,mena,currency
MENAKODPOSKYTNUTI,AED,mena,currency
MENAKODPOSKYTNUTI,GBP,mena,currency
MENAKODPOSKYTNUTI,USD,mena,currency
MENAKODPOSKYTNUTI,USD,mena,currency
MENAKODPOSKYTNUTI,USN,mena,currency
MENAKODPOSKYTNUTI,UYU,mena,currency
MENAKODPOSKYTNUTI,UYI,mena,currency
MENAKODPOSKYTNUTI,UZS,mena,currency
MENAKODPOSKYTNUTI,VUV,mena,currency
MENAKODPOSKYTNUTI,VEF,mena,currency
MENAKODPOSKYTNUTI,VND,mena,currency
MENAKODPOSKYTNUTI,USD,mena,currency
MENAKODPOSKYTNUTI,USD,mena,currency
MENAKODPOSKYTNUTI,XPF,mena,currency
MENAKODPOSKYTNUTI,MAD,mena,currency
MENAKODPOSKYTNUTI,YER,mena,currency
MENAKODPOSKYTNUTI,ZMW,mena,currency
MENAKODPOSKYTNUTI,ZWL,mena,currency
MENAKODPOSKYTNUTI,XBA,mena,currency
MENAKODPOSKYTNUTI,XBB,mena,currency
MENAKODPOSKYTNUTI,XBC,mena,currency
MENAKODPOSKYTNUTI,XBD,mena,currency
MENAKODPOSKYTNUTI,XTS,mena,currency
MENAKODPOSKYTNUTI,XXX,mena,currency
MENAKODPOSKYTNUTI,XAU,mena,currency
MENAKODPOSKYTNUTI,XPD,mena,currency
MENAKODPOSKYTNUTI,XPT,mena,currency
MENAKODPOSKYTNUTI,XAG,mena,currency
MENAKODPOSKYTNUTI,AFA,mena,currency
MENAKODPOSKYTNUTI,FIM,mena,currency
MENAKODPOSKYTNUTI,ALK,mena,currency
MENAKODPOSKYTNUTI,ADP,mena,currency
MENAKODPOSKYTNUTI,ESP,mena,currency
MENAKODPOSKYTNUTI,FRF,mena,currency
MENAKODPOSKYTNUTI,AOK,mena,currency
MENAKODPOSKYTNUTI,AON,mena,currency
MENAKODPOSKYTNUTI,AOR,mena,currency
MENAKODPOSKYTNUTI,ARA,mena,currency
MENAKODPOSKYTNUTI,ARP,mena,currency
MENAKODPOSKYTNUTI,ARY,mena,currency
MENAKODPOSKYTNUTI,RUR,mena,currency
MENAKODPOSKYTNUTI,ATS,mena,currency
MENAKODPOSKYTNUTI,AYM,mena,currency
MENAKODPOSKYTNUTI,AZM,mena,currency
MENAKODPOSKYTNUTI,RUR,mena,currency
MENAKODPOSKYTNUTI,BYR,mena,currency
MENAKODPOSKYTNUTI,BYB,mena,currency
MENAKODPOSKYTNUTI,RUR,mena,currency
MENAKODPOSKYTNUTI,BEC,mena,currency
MENAKODPOSKYTNUTI,BEF,mena,currency
MENAKODPOSKYTNUTI,BEL,mena,currency
MENAKODPOSKYTNUTI,BOP,mena,currency
MENAKODPOSKYTNUTI,BAD,mena,currency
MENAKODPOSKYTNUTI,BRB,mena,currency
MENAKODPOSKYTNUTI,BRC,mena,currency
MENAKODPOSKYTNUTI,BRE,mena,currency
MENAKODPOSKYTNUTI,BRN,mena,currency
MENAKODPOSKYTNUTI,BRR,mena,currency
MENAKODPOSKYTNUTI,BGJ,mena,currency
MENAKODPOSKYTNUTI,BGK,mena,currency
MENAKODPOSKYTNUTI,BGL,mena,currency
MENAKODPOSKYTNUTI,BUK,mena,currency
MENAKODPOSKYTNUTI,CNX,mena,currency
MENAKODPOSKYTNUTI,HRD,mena,currency
MENAKODPOSKYTNUTI,HRK,mena,currency
MENAKODPOSKYTNUTI,CYP,mena,currency
MENAKODPOSKYTNUTI,CSJ,mena,currency
MENAKODPOSKYTNUTI,CSK,mena,currency
MENAKODPOSKYTNUTI,ECS,mena,currency
MENAKODPOSKYTNUTI,ECV,mena,currency
MENAKODPOSKYTNUTI,GQE,mena,currency
MENAKODPOSKYTNUTI,EEK,mena,currency
MENAKODPOSKYTNUTI,XEU,mena,currency
MENAKODPOSKYTNUTI,FIM,mena,currency
MENAKODPOSKYTNUTI,FRF,mena,currency
MENAKODPOSKYTNUTI,FRF,mena,currency
MENAKODPOSKYTNUTI,FRF,mena,currency
MENAKODPOSKYTNUTI,GEK,mena,currency
MENAKODPOSKYTNUTI,RUR,mena,currency
MENAKODPOSKYTNUTI,DDM,mena,currency
MENAKODPOSKYTNUTI,DEM,mena,currency
MENAKODPOSKYTNUTI,GHC,mena,currency
MENAKODPOSKYTNUTI,GHP,mena,currency
MENAKODPOSKYTNUTI,GRD,mena,currency
MENAKODPOSKYTNUTI,FRF,mena,currency
MENAKODPOSKYTNUTI,GNE,mena,currency
MENAKODPOSKYTNUTI,GNS,mena,currency
MENAKODPOSKYTNUTI,GWE,mena,currency
MENAKODPOSKYTNUTI,GWP,mena,currency
MENAKODPOSKYTNUTI,ITL,mena,currency
MENAKODPOSKYTNUTI,ISJ,mena,currency
MENAKODPOSKYTNUTI,IEP,mena,currency
MENAKODPOSKYTNUTI,ILP,mena,currency
MENAKODPOSKYTNUTI,ILR,mena,currency
MENAKODPOSKYTNUTI,ITL,mena,currency
MENAKODPOSKYTNUTI,RUR,mena,currency
MENAKODPOSKYTNUTI,RUR,mena,currency
MENAKODPOSKYTNUTI,LAJ,mena,currency
MENAKODPOSKYTNUTI,LVL,mena,currency
MENAKODPOSKYTNUTI,LVR,mena,currency
MENAKODPOSKYTNUTI,LSM,mena,currency
MENAKODPOSKYTNUTI,ZAL,mena,currency
MENAKODPOSKYTNUTI,LTL,mena,currency
MENAKODPOSKYTNUTI,LTT,mena,currency
MENAKODPOSKYTNUTI,LUC,mena,currency
MENAKODPOSKYTNUTI,LUF,mena,currency
MENAKODPOSKYTNUTI,LUL,mena,currency
MENAKODPOSKYTNUTI,MGF,mena,currency
MENAKODPOSKYTNUTI,MWK,mena,currency
MENAKODPOSKYTNUTI,MVQ,mena,currency
MENAKODPOSKYTNUTI,MLF,mena,currency
MENAKODPOSKYTNUTI,MTL,mena,currency
MENAKODPOSKYTNUTI,MTP,mena,currency
MENAKODPOSKYTNUTI,FRF,mena,currency
MENAKODPOSKYTNUTI,FRF,mena,currency
MENAKODPOSKYTNUTI,MXP,mena,currency
MENAKODPOSKYTNUTI,RUR,mena,currency
MENAKODPOSKYTNUTI,FRF,mena,currency
MENAKODPOSKYTNUTI,MZE,mena,currency
MENAKODPOSKYTNUTI,MZM,mena,currency
MENAKODPOSKYTNUTI,NLG,mena,currency
MENAKODPOSKYTNUTI,ANG,mena,currency
MENAKODPOSKYTNUTI,NIC,mena,currency
MENAKODPOSKYTNUTI,PEN,mena,currency
MENAKODPOSKYTNUTI,PEH,mena,currency
MENAKODPOSKYTNUTI,PEI,mena,currency
MENAKODPOSKYTNUTI,PES,mena,currency
MENAKODPOSKYTNUTI,PLZ,mena,currency
MENAKODPOSKYTNUTI,PTE,mena,currency
MENAKODPOSKYTNUTI,FRF,mena,currency
MENAKODPOSKYTNUTI,ROK,mena,currency
MENAKODPOSKYTNUTI,RON,mena,currency
MENAKODPOSKYTNUTI,ROL,mena,currency
MENAKODPOSKYTNUTI,RUR,mena,currency
MENAKODPOSKYTNUTI,FRF,mena,currency
MENAKODPOSKYTNUTI,FRF,mena,currency
MENAKODPOSKYTNUTI,FRF,mena,currency
MENAKODPOSKYTNUTI,ITL,mena,currency
MENAKODPOSKYTNUTI,CSD,mena,currency
MENAKODPOSKYTNUTI,EUR,mena,currency
MENAKODPOSKYTNUTI,SKK,mena,currency
MENAKODPOSKYTNUTI,SIT,mena,currency
MENAKODPOSKYTNUTI,ZAL,mena,currency
MENAKODPOSKYTNUTI,SDG,mena,currency
MENAKODPOSKYTNUTI,RHD,mena,currency
MENAKODPOSKYTNUTI,ESA,mena,currency
MENAKODPOSKYTNUTI,ESB,mena,currency
MENAKODPOSKYTNUTI,ESP,mena,currency
MENAKODPOSKYTNUTI,SDD,mena,currency
MENAKODPOSKYTNUTI,SDP,mena,currency
MENAKODPOSKYTNUTI,SRG,mena,currency
MENAKODPOSKYTNUTI,CHC,mena,currency
MENAKODPOSKYTNUTI,RUR,mena,currency
MENAKODPOSKYTNUTI,TJR,mena,currency
MENAKODPOSKYTNUTI,IDR,mena,currency
MENAKODPOSKYTNUTI,TPE,mena,currency
MENAKODPOSKYTNUTI,TRL,mena,currency
MENAKODPOSKYTNUTI,TRY,mena,currency
MENAKODPOSKYTNUTI,RUR,mena,currency
MENAKODPOSKYTNUTI,TMM,mena,currency
MENAKODPOSKYTNUTI,UGS,mena,currency
MENAKODPOSKYTNUTI,UGW,mena,currency
MENAKODPOSKYTNUTI,UAK,mena,currency
MENAKODPOSKYTNUTI,SUR,mena,currency
MENAKODPOSKYTNUTI,USS,mena,currency
MENAKODPOSKYTNUTI,UYN,mena,currency
MENAKODPOSKYTNUTI,UYP,mena,currency
MENAKODPOSKYTNUTI,RUR,mena,currency
MENAKODPOSKYTNUTI,VEB,mena,currency
MENAKODPOSKYTNUTI,VEF,mena,currency
MENAKODPOSKYTNUTI,VEF,mena,currency
MENAKODPOSKYTNUTI,VNC,mena,currency
MENAKODPOSKYTNUTI,YDD,mena,currency
MENAKODPOSKYTNUTI,YUD,mena,currency
MENAKODPOSKYTNUTI,YUM,mena,currency
MENAKODPOSKYTNUTI,YUN,mena,currency
MENAKODPOSKYTNUTI,ZRN,mena,currency
MENAKODPOSKYTNUTI,ZRZ,mena,currency
MENAKODPOSKYTNUTI,ZMK,mena,currency
MENAKODPOSKYTNUTI,ZWC,mena,currency
MENAKODPOSKYTNUTI,ZWD,mena,currency
MENAKODPOSKYTNUTI,ZWD,mena,currency
MENAKODPOSKYTNUTI,ZWN,mena,currency
MENAKODPOSKYTNUTI,ZWR,mena,currency
MENAKODPOSKYTNUTI,XFO,mena,currency
MENAKODPOSKYTNUTI,XRE,mena,currency
MENAKODPOSKYTNUTI,XFU,mena,currency
MENAKODPRIJETI,AFN,mena,currency
MENAKODPRIJETI,EUR,mena,currency
MENAKODPRIJETI,ALL,mena,currency
MENAKODPRIJETI,DZD,mena,currency
MENAKODPRIJETI,USD,mena,currency
MENAKODPRIJETI,EUR,mena,currency
MENAKODPRIJETI,AOA,mena,currency
MENAKODPRIJETI,XCD,mena,currency
MENAKODPRIJETI,XCD,mena,currency
MENAKODPRIJETI,ARS,mena,currency
MENAKODPRIJETI,AMD,mena,currency
MENAKODPRIJETI,AWG,mena,currency
MENAKODPRIJETI,AUD,mena,currency
MENAKODPRIJETI,EUR,mena,currency
MENAKODPRIJETI,AZN,mena,currency
MENAKODPRIJETI,BSD,mena,currency
MENAKODPRIJETI,BHD,mena,currency
MENAKODPRIJETI,BDT,mena,currency
MENAKODPRIJETI,BBD,mena,currency
MENAKODPRIJETI,BYN,mena,currency
MENAKODPRIJETI,EUR,mena,currency
MENAKODPRIJETI,BZD,mena,currency
MENAKODPRIJETI,XOF,mena,currency
MENAKODPRIJETI,BMD,mena,currency
MENAKODPRIJETI,INR,mena,currency
MENAKODPRIJETI,BTN,mena,currency
MENAKODPRIJETI,BOB,mena,currency
MENAKODPRIJETI,BOV,mena,currency
MENAKODPRIJETI,USD,mena,currency
MENAKODPRIJETI,BAM,mena,currency
MENAKODPRIJETI,BWP,mena,currency
MENAKODPRIJETI,NOK,mena,currency
MENAKODPRIJETI,BRL,mena,currency
MENAKODPRIJETI,USD,mena,currency
MENAKODPRIJETI,BND,mena,currency
MENAKODPRIJETI,BGN,mena,currency
MENAKODPRIJETI,XOF,mena,currency
MENAKODPRIJETI,BIF,mena,currency
MENAKODPRIJETI,CVE,mena,currency
MENAKODPRIJETI,KHR,mena,currency
MENAKODPRIJETI,XAF,mena,currency
MENAKODPRIJETI,CAD,mena,currency
MENAKODPRIJETI,KYD,mena,currency
MENAKODPRIJETI,XAF,mena,currency
MENAKODPRIJETI,XAF,mena,currency
MENAKODPRIJETI,CLP,mena,currency
MENAKODPRIJETI,CLF,mena,currency
MENAKODPRIJETI,CNY,mena,currency
MENAKODPRIJETI,AUD,mena,currency
MENAKODPRIJETI,AUD,mena,currency
MENAKODPRIJETI,COP,mena,currency
MENAKODPRIJETI,COU,mena,currency
MENAKODPRIJETI,KMF,mena,currency
MENAKODPRIJETI,CDF,mena,currency
MENAKODPRIJETI,XAF,mena,currency
MENAKODPRIJETI,NZD,mena,currency
MENAKODPRIJETI,CRC,mena,currency
MENAKODPRIJETI,XOF,mena,currency
MENAKODPRIJETI,HRK,mena,currency
MENAKODPRIJETI,CUP,mena,currency
MENAKODPRIJETI,CUC,mena,currency
MENAKODPRIJETI,ANG,mena,currency
MENAKODPRIJETI,EUR,mena,currency
MENAKODPRIJETI,CZK,mena,currency
MENAKODPRIJETI,DKK,mena,currency
MENAKODPRIJETI,DJF,mena,currency
MENAKODPRIJETI,XCD,mena,currency
MENAKODPRIJETI,DOP,mena,currency
MENAKODPRIJETI,USD,mena,currency
MENAKODPRIJETI,EGP,mena,currency
MENAKODPRIJETI,SVC,mena,currency
MENAKODPRIJETI,USD,mena,currency
MENAKODPRIJETI,XAF,mena,currency
MENAKODPRIJETI,ERN,mena,currency
MENAKODPRIJETI,EUR,mena,currency
MENAKODPRIJETI,ETB,mena,currency
MENAKODPRIJETI,EUR,mena,currency
MENAKODPRIJETI,FKP,mena,currency
MENAKODPRIJETI,DKK,mena,currency
MENAKODPRIJETI,FJD,mena,currency
MENAKODPRIJETI,EUR,mena,currency
MENAKODPRIJETI,EUR,mena,currency
MENAKODPRIJETI,EUR,mena,currency
MENAKODPRIJETI,XPF,mena,currency
MENAKODPRIJETI,EUR,mena,currency
MENAKODPRIJETI,XAF,mena,currency
MENAKODPRIJETI,GMD,mena,currency
MENAKODPRIJETI,GEL,mena,currency
MENAKODPRIJETI,EUR,mena,currency
MENAKODPRIJETI,GHS,mena,currency
MENAKODPRIJETI,GIP,mena,currency
MENAKODPRIJETI,EUR,mena,currency
MENAKODPRIJETI,DKK,mena,currency
MENAKODPRIJETI,XCD,mena,currency
MENAKODPRIJETI,EUR,mena,currency
MENAKODPRIJETI,USD,mena,currency
MENAKODPRIJETI,GTQ,mena,currency
MENAKODPRIJETI,GBP,mena,currency
MENAKODPRIJETI,GNF,mena,currency
MENAKODPRIJETI,XOF,mena,currency
MENAKODPRIJETI,GYD,mena,currency
MENAKODPRIJETI,HTG,mena,currency
